id,Author,Journal,Year,SppLatin,SppPhylo,SppCommon,Family,Order,Flight,Bird.Type,SppMass,Location,Continent,Sexes,Ages,Control.Group..Y...N.,Effect.Size,Nsamp,How,Type,SubType,Period.Tracked,Tag.Type,Attachment.Type,AttachmentClass,Attachment.Position,Tag.Weight,Weight.Proportion,WeightRaw,Deployment.Duration,Study,Inclusion,,,
48,Igual,Mar Biol,2005,Calonectris diomedea,Calonectris_diomedea,Cory's shearwater,Procellariidae,Procellariformes,soar,seabird,850,"Pantaleu, Balearics",Europe,both,ad,Y,-0.111,135,Contingency,Survival,Returns,annual,GLS,legband,legband,leg,12,1.41%,0.014117647,365,Igual Mar Biol 2005Survival,1,,,
49,Jahn,Auk,2013,Tyrannus forficatus,Tyrannus_forficatus,Scissor-tailed flycatcher,Tyrannidae,Passeriformes,flap,passerine,36,USA,N America,both,ad,Y,-0.15,41,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.9,2.50%,0.025,365,Jahn Auk 2013Survival,1,,,
50,Jahn,Auk,2013,Tyrannus verticalis,Tyrannus_verticalis,Western Kingbird,Tyrannidae,Passeriformes,flap,passerine,40,USA,N America,both,ad,Y,-0.185,49,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.9,2.25%,0.0225,365,Jahn Auk 2013Survival,1,,,
51,Jahn,Unpub,2011,Tyrannus melancholicus,Tyrannus_melancholicus,Tropical Kingbird,Tyrannidae,Passeriformes,flap,passerine,40,USA,N America,both,ad,Y,-0.745,6,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.2,3.00%,0.03,365,Jahn Unpub 2011Survival,1,,,
52,Jahn,Unpub,2011,Tyrannus albogularis,Tyrannus_albogularis,White-throated Kingbird,Tyrannidae,Passeriformes,flap,passerine,40,USA,N America,both,ad,Y,0.0578,13,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.2,3.00%,0.03,365,Jahn Unpub 2011Survival,1,,,
53,Kalas,J Wildl Manag,1989,Gallinago media,Gallinago_media,great snipe,Scolopacidae,Charadriiformes,flap,wader,180,Norway,Europe,both,ad,Y,-0.178,97,Contingency,Survival,Returns,annual,VHF,glue,TapeGlue,Back,3.2,1.78%,0.017777778,365,Kalas J Wildl Manag 1989Survival,1,,,
54,Keedwell,Waterbirds,2001,Charadrius bicinctus,Charadrius_bicinctus,banded dotterel,Odontophoridae,Galliformes,flap,wader,7.5,New Zealand,Australasia,both,juv,y,0.0155,108,Contingency,Survival,Returns,indepjuv,VHF,elastic harness + glue,Harness,Back,0.75,10,0.1,35,Keedwell Waterbirds 2001Survival,1,,,
55,Kenward,Oikos,2000,Buteo buteo,Buteo_buteo,Common Buzzard,Accipitridae,Accipitriformes,soar,raptor,1000,England,Europe,both,juv,Y,0.105,434,Contingency,Survival,MARK,annual,VHF,Teflon ribbon backpack harness,Harness,Back,30,3.00%,0.03,365,Kenward Oikos 2000Survival,1,,,
56,Kenward,Ornis Scan,1978,Accipiter gentilis,Accipiter_gentilis,goshawk ,Accipitridae,Accipitriformes,flap,raptor,1000,UK,Europe,both,both,Y,-0.021,27,Contingency,SUrvival,Returns,nonbreeding,VHF,tailmount,Tail Mount,tail,15,1.50%,0.015,153,Kenward Ornis Scan 1978SUrvival,1,,,
57,Kesler,J Wildl Manag,2011,Todiramphus gambieri,Todiramphus_gambieri,Tuamotu Kingfisher,Alcedinidae,Coraciiformes,flap,passerine,40,French Polynesia,Australasia,both,ad,Y,0.165,74,Contingency,Survival,Returns,annual,VHF,leg loop harness,Harness,Back,1.5,3.75%,0.0375,66,Kesler J Wildl Manag 2011Survival,1,,,
58,Kopp,MEPS,2011,Catharacta maccormicki,Catharacta_maccormicki,South polar skua,Stercorariidae,Charadriiformes,both,seabird,1200,Antarctica,Antarctica,both,ad,Y,0.056,128,Contingency,Survival,Returns,annual,GLS,,legband,leg,9.4,0.78%,0.007833333,1095,Kopp MEPS 2011Survival,1,,,
59,Lemke,PLoS one,2013,Acrocephalus arundinaceus,Acrocephalus_arundinaceus,Great Reed Warbler,Acrocephalidae,Passeriformes,flap,passerine,34,Sweden,Europe,male,ad,Y,-0.0154,51,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1,2.94%,0.029411765,365,Lemke PLoS one 2013Survival,1,,,
60,Lislevand,Wader study,2013,Calidris temminckii,Calidris_temminckii,Temminck’s Stint,Scolopacidae,Charadriiformes,flap,wader,24,Norway,Europe,both,ad,Y,-0.137,54,ChiSq,Survival,ChiSq,annual,GLS,lep-loop backpack harness,Harness,Back,1.14,4.75%,0.0475,730,Lislevand Wader study 2013Survival,1,,,
61,Machin,J Av Biol,2015,Pluvialis apricaria,Pluvialis_apricaria,Eurasian golden plover,Charadriidae,Charadriiformes,flap,wader,220,Sweden,Europe,both,ad,Y,0.0395,49,Contingency,Survival,ChiSq,annual,GLS,leg ring,legband,leg,1.1,0.50%,0.005,365,Machin J Av Biol 2015Survival,1,,,
62,Marks & Marks,J Wildl Manag,1987,Tympanuchus phasianellus,Tympanuchus_phasianellus,Sharp-tailed Grouse,Phasianidae,Galliformes,flap,gamebird,800,USA,N America,both,ad,Y,-0.736,47,Contingency,Survival,Returns,annual,VHF,poncho,Poncho,Back,14.5,1.81%,0.018125,365,Marks & Marks J Wildl Manag 1987Survival,1,,,
63,McClelland,J Raptor Res,2006,Haliaeetus leucocephalus,Haliaeetus_leucocephalus,Bald eagle,Accipitridae,Accipitriformes,soar,raptor,4500,USA,N America,both,ad,Y,0.162,303,ChiSq,Survival,ChiSq,nonbreeding ,VHF,55 tail mounts and 11 backpacks,Tail Mount,tail,NA,3.50%,0.035,730,McClelland J Raptor Res 2006Survival,1,,,
64,Meyers,Condor,1997,Uria lomvia,Uria_lomvia,Common and Thick-billed murres,Alcidae,Charadriiformes,flap,seabird,901,USA,N America,both,ad,Y,-0.596,27,Contingency,Survival,Returns,breeding,PTT,implantation into airsac,Subcut,internal,35,3.88%,0.038845727,14,Meyers Condor 1997Survival,1,,,
65,Mong,J Wildl Manag,2007,Bartramia longicauda,Bartramia_longicauda,Upland sandpiper,Scolopacidae,Charadriiformes,flap,wader,160,USA,N America,both,ad,Y,-0.164,244,Contingency,Survival,Returns,annual,VHF,"leg loop, glued to clipped feathers, just glued, glued to bare skin",Harness,Back,3.8,2.375,0.02375,365,Mong J Wildl Manag 2007Survival,1,,,
66,Mong & Sandercock,J Wild Man,2009,Bartramia longicauda,Bartramia_longicauda,Upland sandpiper,Scolopacidae,Charadriiformes,flap,wader,160,USA,N America,both,ad,Y,0.162,85,Contingency,Survival,Returns,annual,VHF,glue,TapeGlue,Back,4,2.50%,0.025,365,Mong & Sandercock J Wild Man 2009Survival,1,,,
67,Mong & Sandercock,J Wild Man,2009,Bartramia longicauda,Bartramia_longicauda,Upland sandpiper,Scolopacidae,Charadriiformes,flap,wader,160,USA,N America,both,ad,Y,-0.164,244,Contingency,Survival,Returns,annual,VHF,legloop harness,Harness,Back,4,2.50%,0.025,365,Mong & Sandercock J Wild Man 2009Survival,1,,,
68,Naef-Daenzer,Avian Sci,2001,Parus major,Parus_major,Great tits & Coal tits,Paridae,Passeriformes,flap,passerine,10.7,Switzerland,Europe,both,juv,Y,0.167,402,Contingency,Survival,Returns,indepjuv,VHF,glue or leg harness,Harness,leg,0.048,0.45%,0.004485981,20,Naef-Daenzer Avian Sci 2001Survival,1,,,
69,Naef-Daenzer,J Av Biol,2016,Athene noctua,Athene_noctua,Little Owl,Strigidae,Strigiformes,flap,raptor,150,Germany,Europe,both,ad,Y,-0.002,30384,M & SD,Survival,MARK,annual,VHF,figure 8 harness,Harness,Back,7.5,5.00%,0.05,365,Naef-Daenzer J Av Biol 2016Survival,1,,,
70,Naef-Daenzer,J Av Biol,2016,Athene noctua,Athene_noctua,Little Owl,Strigidae,Strigiformes,flap,raptor,150,Germany,Europe,both,juv,Y,3.00E-04,30485,M & SD,Survival,MARK,annual,VHF,figure 8 harness,Harness,Back,7.5,5.00%,0.05,365,Naef-Daenzer J Av Biol 2016Survival,1,,,
71,Niles,Wader Study Grp Bull,2010,Calidris canutus,Calidris_canutus,Red Knot,Scolopacidae,Charadriiformes,flap,wader,137,USA,N America,both,ad,Y,0.0883,669,Contingency,Survival,Returns,annual,GLS,on leg ring,legband,leg,1.8,1.31%,0.013138686,365,Niles Wader Study Grp Bull 2010Survival,1,,,
72,Ouwehand,J Av Biol,2016,Ficedula hypoleuca,Ficedula_hypoleuca,Pied flycatcher,Muscicapidae,Passeriformes,flap,passerine,13.5,Finland,Europe,male,ad,Y,-0.119,583,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.65,4.81%,0.048148148,365,Ouwehand J Av Biol 2016Survival,1,,,
73,Ouwehand,J Av Biol,2016,Ficedula hypoleuca,Ficedula_hypoleuca,Pied flycatcher,Muscicapidae,Passeriformes,flap,passerine,13.5,Norway,Europe,male,ad,Y,-0.344,44,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.65,4.81%,0.048148148,365,Ouwehand J Av Biol 2016Survival,1,,,
74,Ouwehand,J Av Biol,2016,Ficedula hypoleuca,Ficedula_hypoleuca,Pied flycatcher,Muscicapidae,Passeriformes,flap,passerine,13.5,Netherlands,Europe,female,ad,Y,-0.0855,85,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.65,4.81%,0.048148148,365,Ouwehand J Av Biol 2016Survival,1,,,
75,Ouwehand,J Av Biol,2016,Ficedula hypoleuca,Ficedula_hypoleuca,Pied flycatcher,Muscicapidae,Passeriformes,flap,passerine,13.5,Netherlands,Europe,male,ad,Y,-0.053,286,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.65,4.81%,0.048148148,365,Ouwehand J Av Biol 2016Survival,1,,,
76,Ouwehand,J Av Biol,2016,Ficedula hypoleuca,Ficedula_hypoleuca,Pied flycatcher,Muscicapidae,Passeriformes,flap,passerine,13.5,England,Europe,male,ad,Y,-0.294,38,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.65,4.81%,0.048148148,365,Ouwehand J Av Biol 2016Survival,1,,,
77,Pakanen,Ornis Fennica,2015,Calidris alpina,Calidris_alpina,Southern Dunlin,Scolopacidae,Charadriiformes,flap,wader,52,Finland,Europe,both,ad,Y,0,30,Contingency,Survival,Returns,annual,GLS,on tibia with leg flag,legband,leg,0.8,1.54%,0.015384615,365,Pakanen Ornis Fennica 2015Survival,1,,,
